name,os,processor,generation,ram,ssd,hdd,display,price
infinix,windows 11,intel core i5,10,8,512,0,14.0,37990
hp,windows 11,intel core i5,12,16,512,0,14.0,77070
asus,windows 11,intel core i5,12,8,512,0,14.0,56990
acer,windows 11,other,0,16,512,0,15.6,56990
dell,windows 11,intel core i3,11,8,256,1,15.6,42490
acer,windows 10,intel core i7,11,16,512,1,15.6,95990
dell,windows 11,intel core i3,11,8,512,0,15.6,44290
hp,windows 11,other,0,16,512,0,14.0,63550
msi,windows 11,intel core i9,12,16,1024,0,15.6,119990
apple,mac,apple m1 processor,0,16,512,0,13.3,129990
asus,windows 11,other,0,16,1024,0,15.6,161990
infinix,windows 11,intel core i5,11,16,512,0,15.6,47990
dell,windows 10,other,0,16,512,0,15.6,73990
apple,mac,apple m1 max,0,32,1024,0,16.2,307990
asus,windows 11,intel core i3,12,8,512,0,15.6,45990
lenovo,windows 11,intel core other,0,8,256,0,15.6,27990
msi,windows 10,intel core i5,11,8,512,0,15.6,62050
infinix,windows 11,intel core i7,11,16,512,0,15.6,52990
msi,windows 11,intel core i5,12,16,512,0,15.6,58490
dell,windows 11,other,0,8,512,0,15.6,41190
dell,windows 11,intel core i5,12,8,512,0,15.6,57990
hp,windows 11,intel core i7,12,8,512,0,15.6,85990
lenovo,windows 11,intel core i5,11,8,512,0,15.6,55990
asus,windows 11,intel core i3,11,8,256,0,14.0,44990
dell,windows 11,other,0,8,256,0,15.6,32000
asus,windows 11,intel core i5,12,16,512,0,14.0,89990
hp,windows 11,intel core i7,12,16,1024,0,15.6,88900
asus,windows 11,intel core i3,11,8,512,0,15.6,41990
lenovo,windows 11,other,0,16,512,0,15.6,89990
asus,windows 10,intel core i3,11,8,512,0,14.0,44490
lenovo,windows 11,other,0,8,512,0,15.6,47990
samsung,windows 11,intel core i7,12,16,512,0,15.6,72990
asus,windows 11,intel core i5,10,8,1024,0,15.6,65990
asus,windows 11,other,0,16,512,0,15.6,56990
hp,windows 11,intel core i3,11,8,512,0,14.0,34690
apple,mac,apple m1 pro,0,16,1024,0,14.2,213894
hp,windows 11,other,0,16,512,0,14.0,50499
msi,windows 11,intel core i7,12,16,1024,0,17.3,170990
acer,windows 11,intel core i5,11,8,512,0,15.6,40990
dell,windows 11,intel core i5,12,16,512,0,13.3,78190
dell,windows 11,other,0,8,512,0,15.6,43490
apple,mac,apple m2 pro,0,16,512,0,14.0,199900
dell,windows 11,other,0,16,512,0,15.6,99990
dell,windows 11,other,0,8,256,0,14.0,36990
asus,windows 11,other,0,32,2048,0,16.0,224990
apple,mac,apple m2 processor,0,8,256,0,13.3,121990
asus,windows 11,other,0,8,512,0,15.6,87990
lenovo,windows 11,other,0,8,512,0,15.6,42900
dell,windows 11,other,0,16,512,0,15.6,88490
asus,windows 11,intel core i5,12,16,512,0,15.6,89990
msi,windows 11,intel core i7,12,16,1024,0,15.6,140990
apple,mac,apple m1 processor,0,16,256,0,13.3,106490
hp,other,intel core other,0,4,256,0,14.0,25990
dell,windows 11,intel core i5,12,8,512,0,15.6,79990
dell,windows 11,intel core i7,12,16,512,0,13.3,89990
dell,windows 11,intel core i5,11,16,512,0,15.6,72990
dell,windows 11,intel core i5,12,8,512,0,14.0,76519
asus,windows 11,other,0,8,512,0,15.6,34990
dell,windows 11,other,0,8,256,0,15.6,38029
apple,mac,apple m1 processor,0,8,512,0,13.3,104990
hp,other,intel core other,0,4,512,0,14.0,25990
asus,windows 10,intel core other,0,4,0,1,15.6,23990
acer,windows 11,intel core i3,11,8,256,0,15.6,31990
dell,windows 11,intel core i5,11,16,512,0,15.6,49890
asus,windows 11,intel core i5,12,8,512,0,14.0,74990
dell,windows 11,intel core i5,11,8,512,0,15.6,60290
apple,mac,apple m1 processor,0,16,512,0,13.3,126990
asus,windows 11,intel core i5,10,8,512,0,15.6,60990
hp,windows 11,intel core i7,12,16,1024,0,16.1,155490
lenovo,windows 11,intel core i5,11,8,256,1,15.6,64990
dell,windows 11,other,0,8,512,0,14.0,41490
asus,windows 11,intel core i5,12,16,512,0,15.6,77990
asus,windows 11,intel core i7,12,16,512,0,15.6,94500
asus,windows 10,other,0,16,1024,0,15.6,154990
dell,windows 11,intel core i7,12,16,512,0,15.6,168990
dell,windows 11,intel core i5,12,8,512,0,15.6,63890
hp,windows 11,intel core i5,12,16,512,0,15.6,74990
asus,windows 11,other,0,8,1024,0,15.6,65990
apple,mac,apple m1 processor,0,8,256,0,13.3,114990
acer,windows 11,other,0,16,512,0,15.6,63990
msi,windows 11,intel core i5,12,16,512,0,15.6,80990
hp,windows 11,intel core i7,12,16,1024,0,14.0,97990
hp,windows 11,intel core i3,11,8,256,0,15.6,39490
asus,windows 11,intel core i9,12,32,1024,0,15.6,281990
lenovo,windows 11,intel core i3,10,4,256,0,14.0,31561
asus,windows 11,intel core i5,10,16,512,0,14.0,48990
asus,windows 11,intel core i3,11,8,256,0,15.6,36990
dell,windows 11,intel core i5,12,8,512,0,16.0,66190
hp,windows 10,other,0,8,0,1,15.6,54990
apple,mac,apple m1 pro,0,16,1024,0,16.2,243990
dell,windows 11,other,0,8,512,0,15.6,41890
asus,windows 11,intel core i7,11,16,512,0,13.3,104990
asus,windows 11,intel core i3,11,8,256,0,15.6,42990
msi,windows 11,intel core i7,12,16,512,0,15.6,104990
lenovo,windows 10,intel core i7,10,16,512,0,15.6,86490
msi,windows 11,amd ryzen 9,5,16,1024,0,15.6,129990
dell,windows 11,intel core i5,11,8,512,0,15.6,52890
hp,windows 11,other,0,8,512,0,16.1,71990
asus,windows 11,other,0,32,1024,0,14.0,191990
asus,windows 11,other,0,16,1024,0,15.6,146990
hp,windows 11,intel core i7,12,16,1024,0,15.6,109990
hp,windows 11,other,0,8,512,0,16.1,77990
lenovo,windows 10,other,0,4,0,1,15.6,31490
lenovo,windows 11,other,0,8,512,0,15.6,39990
acer,windows 10,other,0,8,512,0,14.0,61500
apple,mac,apple m2 processor,0,16,256,0,13.6,131990
asus,windows 11,amd ryzen 9,9,16,1024,0,15.6,90390
asus,windows 11,intel core i9,12,32,1024,0,15.6,228928
alienware,windows 10,intel core i9,10,32,1024,0,15.6,345390
dell,windows 10,intel core i5,10,8,512,0,14.0,62990
asus,windows 11,other,0,16,1024,0,15.6,174990
dell,windows 11,intel core i5,12,8,512,0,15.6,61690
gigabyte,windows 11,intel core i5,12,16,512,0,15.6,79990
acer,windows 11,other,0,16,512,1,15.6,75990
lenovo,windows 11,other,0,16,1024,0,16.0,129989
hp,windows 11,intel core i5,11,16,512,0,14.0,68990
asus,windows 11,other,0,16,1024,0,15.6,177990
lenovo,windows 11,intel core i5,12,16,512,0,15.6,62490
apple,mac,apple m1 processor,0,8,512,0,13.3,109990
samsung,windows 11,intel core i5,12,8,256,0,15.6,61990
dell,windows 11,intel core i5,11,8,256,1,15.6,60990
asus,windows 11,other,0,8,512,0,15.6,70990
hp,windows 11,other,0,16,1024,0,16.1,110000
asus,windows 10,other,0,8,512,0,15.6,76990
infinix,windows 11,intel core i3,11,8,512,0,15.6,33990
hp,windows 11,intel core i9,12,32,2048,0,17.3,299999
asus,windows 10,other,0,16,1024,0,15.6,129990
infinix,windows 11,intel core i5,12,16,512,0,15.6,51532
msi,windows 10,intel core i7,11,16,1024,0,15.6,144100
hp,windows 11,intel core i5,12,8,512,0,14.0,63500
infinix,windows 11,intel core other,0,4,128,0,14.0,20990
